movieId,title,genres,title,genres
34,Babe (1995),Children|Drama,감자그라탕,국/탕요리|양식 요리|채소류 요리|간식/야식|움짤 레시피|아이 간식
35,Carrington (1995),Drama|Romance,롤캐비지,손님 접대 요리|쇠고기|실생활 요리|나들이 요리|채소류 요리|술안주|파티/명절요리|자취 초보 요리|혼밥 요리|빈혈 예방|간식/야식|15분 요리|간단 재료 요리|10분 요리|5분 요리|해장요리|이국적인맛
36,Dead Man Walking (1995),Crime|Drama,진미채 마요 김밥,실생활 요리|나들이 요리|자취 초보 요리|한식 요리|간식/야식|움짤 레시피|15분 요리|김밥/롤/주먹밥/초밥
37,Across the Sea of Time (1995),Documentary|IMAX,만두피츄러스,퓨전요리|튀김요리|간식/야식|움짤 레시피|간단 재료 요리|만두요리
38,It Takes Two (1995),Children|Comedy,딸기요거트 아이스크림,자취 초보 요리|면역력 강화|혼밥 요리|간식/야식|움짤 레시피|간단 재료 요리|아이스크림|5분 요리|요거트
39,Clueless (1995),Comedy|Romance,깐풍두부,실생활 요리|술안주|자취 초보 요리|볶음요리|중식 요리|콩/두부 요리|혼밥 요리|간편 메인반찬
40,"Cry, the Beloved Country (1995)",Drama,고구마 만두,퓨전요리|간식/야식|간단 재료 요리|만두요리
41,Richard III (1995),Drama|War,굴 짬뽕탕,손님 접대 요리|실생활 요리|수산물|국/탕요리|술안주|자취 초보 요리|한식 요리|중식 요리|혼밥 요리|기미/주근깨|빈혈 예방|움짤 레시피|간단 재료 요리|아이 성장/발육 |허리/관절 건강|암 예방|수유모 건강|잇몸 건강|피부 재생|해장요리|눈 건강|산모 건강
42,Dead Presidents (1995),Action|Crime|Drama,누텔라 초코 밀크레이프,빵/케이크|양식 요리|간식/야식|움짤 레시피
43,Restoration (1995),Drama,새우깡버거,퓨전요리|간식/야식|10분 요리|햄버거/핫도그|동영상 레시피
44,Mortal Kombat (1995),Action|Adventure|Fantasy,페퍼로치노피자,양식 요리|술안주|피자|간식/야식|햄/소시지
45,To Die For (1995),Comedy|Drama|Thriller,고르곤졸라치즈샐러드,실생활 요리|양식 요리|채소류 요리|샐러드요리|혼밥 요리
46,How to Make an American Quilt (1995),Drama|Romance,소고기 비빔간장,손님 접대 요리|쇠고기|실생활 요리|나들이 요리|채소류 요리|술안주|파티/명절요리|자취 초보 요리|한식 요리|덮밥/국밥|혼밥 요리|간식/야식|15분 요리|간단 재료 요리|채소밥/비빔밥|10분 요리|5분 요리
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,해피투게더 야간매점 심심수수,술안주|자취 초보 요리|한식 요리|혼밥 요리|김치요리|간식/야식|한식면|15분 요리
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,견과류 멸치 강정,자취 초보 요리|한식 요리|간식/야식|과자/쿠키|간단 재료 요리|수산가공품|아이 간식
49,When Night Is Falling (1995),Drama|Romance,토마토 바질 캐비지롤,손님 접대 요리|쇠고기|실생활 요리|나들이 요리|채소류 요리|술안주|파티/명절요리|자취 초보 요리|퓨전요리|혼밥 요리|빈혈 예방|간식/야식|간단 재료 요리|해장요리|간편 메인반찬
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,방울양배추볶음.,채소류 요리|자취 초보 요리|볶음요리|혼밥 요리|움짤 레시피|15분 요리
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,야끼소바,실생활 요리|일식 요리|자취 초보 요리|혼밥 요리|볶음면요리|간식/야식|일식면|움짤 레시피|간단 재료 요리
53,Lamerica (1994),Adventure|Drama,스팸 김치찜,찜요리|실생활 요리|자취 초보 요리|한식 요리|혼밥 요리|김치요리|간단 재료 요리|동영상 레시피
54,"Big Green, The (1995)",Children|Comedy,집여해_보성녹차떡갈비,자취 초보 요리|돼지고기|동영상 레시피
55,Georgia (1995),Drama,스파이시 글레이즈 피칸,퓨전요리|간식/야식
57,Home for the Holidays (1995),Drama,미라밥,퓨전요리|15분 요리|죽/미음
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,김치 알밥,실생활 요리|일식 요리|자취 초보 요리|혼밥 요리|김치요리|간식/야식|움짤 레시피|간단 재료 요리|채소밥/비빔밥|10분 요리
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,갈비찜 & 더덕구이,손님 접대 요리|쇠고기|찜요리|실생활 요리|구이요리|파티/명절요리|자취 초보 요리|한식 요리|간단 재료 요리
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,모츠나베,일식 요리|국/탕요리|술안주|콩/두부 요리|동영상 레시피
61,Eye for an Eye (1996),Drama|Thriller,파스타피자,손님 접대 요리|실생활 요리|양식 요리|술안주|파티/명절요리|퓨전요리|서양식면|피자|간식/야식|해장요리
62,Mr. Holland's Opus (1995),Drama,누텔라피자,피자|간식/야식|사탕/초콜렛|동영상 레시피
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,김씨표류기 짜장면,실생활 요리|중식 요리|혼밥 요리|빈혈 예방|비빔면요리|중식면|동영상 레시피
64,Two if by Sea (1996),Comedy|Romance,제주많은 돼지라면,실생활 요리|술안주|자취 초보 요리|돼지고기|혼밥 요리|간식/야식|한식면|15분 요리|해장요리|겨울|동영상 레시피
65,Bio-Dome (1996),Comedy,멸치비빔국수,실생활 요리|한식 요리|혼밥 요리|한식면|비빔면요리
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,밥버거/주먹밥,나들이 요리|자취 초보 요리|한식 요리|혼밥 요리|15분 요리|간단 재료 요리|햄/소시지|김밥/롤/주먹밥/초밥|아이 간식
68,French Twist (Gazon maudit) (1995),Comedy|Romance,돼지껍데기튀김,실생활 요리|술안주|자취 초보 요리|돼지고기|튀김요리|간식/야식|간단 재료 요리
69,Friday (1995),Comedy,비빔육칼,실생활 요리|한식 요리|혼밥 요리|한식면|비빔면요리
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,레드벨벳 케이크,빵/케이크|양식 요리|파티/명절요리|달걀/유제품 요리|10분 요리
71,Fair Game (1995),Action,파블로바,양식 요리|혼밥 요리|간식/야식|달걀/유제품 요리|과자/쿠키|간단 재료 요리
72,Kicking and Screaming (1995),Comedy|Drama,콩자반,실생활 요리|자취 초보 요리|한식 요리|콩/두부 요리|혼밥 요리|조림요리|간단 재료 요리
73,"Mis챕rables, Les (1995)",Drama|War,전복버터구이,손님 접대 요리|실생활 요리|수산물|구이요리|술안주|자취 초보 요리|한식 요리|간식/야식|간단 재료 요리
74,Bed of Roses (1996),Drama|Romance,스테이크부리또,손님 접대 요리|쇠고기|실생활 요리|나들이 요리|채소류 요리|구이요리|술안주|자취 초보 요리|혼밥 요리|빈혈 예방|간식/야식|움짤 레시피|암 예방|이국적인맛
76,Screamers (1995),Action|Sci-Fi|Thriller,연어 주먹밥,나들이 요리|자취 초보 요리|한식 요리|혼밥 요리|15분 요리|간단 재료 요리|김밥/롤/주먹밥/초밥|수산가공품
77,Nico Icon (1995),Documentary,칠리버섯,채소류 요리|술안주|중식 요리|튀김요리|15분 요리
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,쇼콜라 케이크,빵/케이크|양식 요리|간식/야식|달걀/유제품 요리
79,"Juror, The (1996)",Drama|Thriller,연어 링귀니,손님 접대 요리|실생활 요리|양식 요리|술안주|파티/명절요리|자취 초보 요리|혼밥 요리|다이어트 요리|간식/야식|생선|15분 요리|간단 재료 요리|10분 요리|암 예방|불면증 해소|간편 메인반찬
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,만두버섯전골,국/탕요리|술안주|한식 요리|혼밥 요리|움짤 레시피|15분 요리|만두요리|해장요리
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,묵은지닭볶음탕,실생활 요리|국/탕요리|술안주|파티/명절요리|자취 초보 요리|한식 요리|닭고기|혼밥 요리|김치요리|움짤 레시피|간단 재료 요리
82,Antonia's Line (Antonia) (1995),Comedy|Drama,신동엽표 반숙두부조림,실생활 요리|자취 초보 요리|한식 요리|콩/두부 요리|혼밥 요리|조림요리
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,갈비탕,손님 접대 요리|쇠고기|실생활 요리|국/탕요리|한식 요리|면역력 강화|겨울|동영상 레시피
84,Last Summer in the Hamptons (1995),Comedy|Drama,달걀 순두부국,실생활 요리|자취 초보 요리|한식 요리|콩/두부 요리|혼밥 요리|움짤 레시피|찌개요리|15분 요리|간단 재료 요리
85,Angels and Insects (1995),Drama|Romance, 쇠고기 콩나물 국밥,손님 접대 요리|쇠고기|실생활 요리|국/탕요리|채소류 요리|자취 초보 요리|한식 요리|나물/무침|덮밥/국밥|혼밥 요리|움짤 레시피|간단 재료 요리|아이 성장/발육 |수유모 건강|해장요리|산모 건강
86,White Squall (1996),Action|Adventure|Drama,참치스카치에그,양식 요리|자취 초보 요리|튀김요리|간식/야식|달걀/유제품 요리|아이 간식
87,Dunston Checks In (1996),Children|Comedy,닭가슴살 한방부추찜,자취 초보 요리|닭고기|혼밥 요리|움짤 레시피|간단 재료 요리
88,Black Sheep (1996),Comedy,갈치조림,실생활 요리|한식 요리|혼밥 요리|생선|조림요리
89,Nick of Time (1995),Action|Thriller,반반치킨너겟,나들이 요리|술안주|파티/명절요리|자취 초보 요리|한식 요리|닭고기|튀김요리|간식/야식
92,Mary Reilly (1996),Drama|Horror|Thriller,가벼운 듯 환상의 조합! 청포도 발사믹 샐러드,손님 접대 요리|가공식품 요리|실생활 요리|나들이 요리|양식 요리|채소류 요리|파티/명절요리|자취 초보 요리|샐러드요리|간식/야식
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,만능간장,실생활 요리|양념/소스/잼|한식 요리|5분 요리
94,Beautiful Girls (1996),Comedy|Drama|Romance,에비야끼우동,실생활 요리|일식 요리|자취 초보 요리|혼밥 요리|기미/주근깨|빈혈 예방|15분 요리|간단 재료 요리|10분 요리|수유모 건강|눈 건강|간편 메인반찬
95,Broken Arrow (1996),Action|Adventure|Thriller,그릴치즈 샌드위치,샌드위치|자취 초보 요리|간식/야식|달걀/유제품 요리|15분 요리|간단 재료 요리
96,In the Bleak Midwinter (1995),Comedy|Drama,참치순두부찌개,실생활 요리|자취 초보 요리|한식 요리|콩/두부 요리|혼밥 요리|움짤 레시피|찌개요리|15분 요리|간단 재료 요리
97,"Hate (Haine, La) (1995)",Crime|Drama,치즈계란밥,실생활 요리|나들이 요리|자취 초보 요리|한식 요리|간식/야식|간단 재료 요리|볶음밥/오므라이스
98,Shopping (1994),Action|Thriller,스팸튀김,나들이 요리|술안주|파티/명절요리|자취 초보 요리|퓨전요리|튀김요리|햄/소시지
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,야채전,채소류 요리|술안주|자취 초보 요리|한식 요리|혼밥 요리|간식/야식|15분 요리|간단 재료 요리|10분 요리|5분 요리
100,City Hall (1996),Drama|Thriller,동원 훈제연어,손님 접대 요리|실생활 요리|양식 요리|술안주|파티/명절요리|자취 초보 요리|샐러드요리|혼밥 요리|간식/야식|간단 재료 요리|수산가공품|5분 요리|동영상 레시피
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,매운춘장갈비찜,찜요리|한식 요리|퓨전요리|돼지고기|움짤 레시피
102,Mr. Wrong (1996),Comedy,연어야채죽,실생활 요리|한식 요리|혼밥 요리|생선|아이 간식|죽/미음
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,두부짜장면,술안주|중식 요리|콩/두부 요리|간식/야식|비빔면요리|중식면
104,Happy Gilmore (1996),Comedy,묵사발소면,실생활 요리|한식 요리|혼밥 요리|빈혈 예방|간식/야식|국물면요리|한식면|수유모 건강
105,"Bridges of Madison County, The (1995)",Drama|Romance,소고기 뭇국,손님 접대 요리|쇠고기|실생활 요리|국/탕요리|자취 초보 요리|한식 요리|혼밥 요리|움짤 레시피|15분 요리|간단 재료 요리|아이 성장/발육 |암 예방|수유모 건강|피부 재생|해장요리|산모 건강|미백효과|위 튼튼
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,가라아게 & 와사비마요소스,일식 요리|술안주|양념/소스/잼|자취 초보 요리|닭고기|튀김요리|혼밥 요리|간식/야식|움짤 레시피|간단 재료 요리
108,Catwalk (1996),Documentary,새둥지전,채소류 요리|술안주|자취 초보 요리|한식 요리|혼밥 요리|간단 재료 요리|전/부침요리|아이 간식
110,Braveheart (1995),Action|Drama|War,화분 케이크,빵/케이크|가공식품 요리|양식 요리|간식/야식|간단 재료 요리|10분 요리|동영상 레시피
111,Taxi Driver (1976),Crime|Drama|Thriller,갈치구이,실생활 요리|구이요리|자취 초보 요리|한식 요리|움짤 레시피|생선|간단 재료 요리
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,프랑스알리고,양식 요리|채소류 요리|자취 초보 요리|간식/야식|간단 재료 요리|아이 간식|죽/미음
113,Before and After (1996),Drama|Mystery,쇠고기 궁중떡볶이,손님 접대 요리|쇠고기|자취 초보 요리|한식 요리|볶음요리|간편 메인반찬
114,Margaret's Museum (1995),Drama,피자,피자|간식/야식|10분 요리
116,Anne Frank Remembered (1995),Documentary,고구마 스틱 앤 튀김,채소류 요리|술안주|자취 초보 요리|한식 요리|튀김요리|혼밥 요리|다이어트 요리|간식/야식|간단 재료 요리|10분 요리|겨울
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,오므라이스말이,실생활 요리|나들이 요리|자취 초보 요리|퓨전요리|혼밥 요리|간식/야식|달걀/유제품 요리|15분 요리|간단 재료 요리|볶음밥/오므라이스|간편 메인반찬|동영상 레시피
118,If Lucy Fell (1996),Comedy|Romance,소떡소떡,실생활 요리|술안주|자취 초보 요리|간식/야식|햄/소시지
119,"Steal Big, Steal Little (1995)",Comedy,곤약쟁반국수,실생활 요리|한식 요리|혼밥 요리|비빔면요리
121,"Boys of St. Vincent, The (1992)",Drama,하와이안 포케,혼밥 요리|이국적인맛|동영상 레시피
122,Boomerang (1992),Comedy|Romance,치킨디핑소스,실생활 요리|술안주|양념/소스/잼|자취 초보 요리|닭고기|간식/야식|10분 요리|이국적인맛|동영상 레시피
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,비프웰링턴 (beef wellington),손님 접대 요리|쇠고기|양식 요리|구이요리|파티/명절요리|자취 초보 요리|달걀/유제품 요리|간단 재료 요리
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,연어 브로콜리 크림 파르펠레,혼밥 요리|서양식면|볶음면요리|15분 요리
125,Flirting With Disaster (1996),Comedy,토마토볶음밥,실생활 요리|한식 요리|혼밥 요리|볶음밥/오므라이스|아이 간식
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,베이컨토마토꼬치,일식 요리|구이요리|술안주|햄/소시지|5분 요리|아이 간식
129,Pie in the Sky (1996),Comedy|Romance,마늘간장치킨,실생활 요리|술안주|닭고기|퓨전요리|튀김요리|움짤 레시피
130,Angela (1995),Drama,자메이칸스타일 저크치킨,혼밥 요리|기미/주근깨|움짤 레시피|아이 성장/발육 |수유모 건강|눈 건강
131,Frankie Starlight (1995),Drama|Romance,콩물샤브샤브,손님 접대 요리|쇠고기|실생활 요리|국/탕요리|술안주|한식 요리|퓨전요리|콩/두부 요리|간식/야식|해장요리
132,Jade (1995),Thriller,매운순대볶음,술안주|볶음요리|동영상 레시피
135,Down Periscope (1996),Comedy,달걀조림,실생활 요리|한식 요리|혼밥 요리|달걀/유제품 요리|조림요리|동영상 레시피
137,Man of the Year (1995),Documentary,고구마감자튀김,채소류 요리|술안주|자취 초보 요리|한식 요리|튀김요리
140,Up Close and Personal (1996),Drama|Romance,얼큰버섯샤브샤브,손님 접대 요리|쇠고기|실생활 요리|국/탕요리|술안주|자취 초보 요리|한식 요리|돼지고기|혼밥 요리|기미/주근깨|빈혈 예방|움짤 레시피|아이 성장/발육 |수유모 건강|잇몸 건강|해장요리|눈 건강
141,"Birdcage, The (1996)",Comedy,계란볶음밥,실생활 요리|한식 요리|혼밥 요리|달걀/유제품 요리|볶음밥/오므라이스|아이 간식
144,"Brothers McMullen, The (1995)",Comedy,메추리알김밥,실생활 요리|한식 요리|혼밥 요리|달걀/유제품 요리|김밥/롤/주먹밥/초밥
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,고구마요거트컵케이크,빵/케이크|자취 초보 요리|면역력 강화|다이어트 요리|간식/야식|간단 재료 요리
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,꼬치세트,구이요리|닭고기|간식/야식|동영상 레시피
147,"Basketball Diaries, The (1995)",Drama,프렌치토스트,혼밥 요리|간식/야식
148,"Awfully Big Adventure, An (1995)",Drama,라면버거,가공식품 요리|혼밥 요리|간식/야식|햄버거/핫도그
149,Amateur (1994),Crime|Drama|Thriller,고등어구이,실생활 요리|구이요리|자취 초보 요리|한식 요리|생선
150,Apollo 13 (1995),Adventure|Drama|IMAX,주꾸미콩나물찜,찜요리|실생활 요리|수산물|술안주|한식 요리|움짤 레시피
151,Rob Roy (1995),Action|Drama|Romance|War,피자빵,빵/케이크|가공식품 요리|자취 초보 요리|혼밥 요리|피자|간식/야식|간단 재료 요리|10분 요리|수유모 건강
152,"Addiction, The (1995)",Drama|Horror,콘치즈마카로니,손님 접대 요리|가공식품 요리|실생활 요리|양식 요리|파티/명절요리|자취 초보 요리|볶음요리|서양식면|간식/야식|요거트|동영상 레시피
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,아보카도 바질 페스토,양식 요리|채소류 요리|양념/소스/잼|자취 초보 요리|간식/야식|10분 요리|비뇨기 건강
154,Beauty of the Day (Belle de jour) (1967),Drama,짬뽕,가공식품 요리|한식 요리|퓨전요리|중식 요리|국물면요리|해장요리
155,Beyond Rangoon (1995),Adventure|Drama|War,주꾸미소고기전골,자취 초보 요리|혼밥 요리|움짤 레시피|간단 재료 요리|5분 요리
156,Blue in the Face (1995),Comedy|Drama,잡곡찰밥,실생활 요리|자취 초보 요리|한식 요리|콩/두부 요리|혼밥 요리|빈혈 예방|간단 재료 요리|봄|아이 성장/발육 |피부 재생|쌀밥/잡곡밥|미백효과|대장 튼튼|위 튼튼|간 튼튼
157,Canadian Bacon (1995),Comedy|War,소보로계란밥,실생활 요리|면역력 강화|퓨전요리|돼지고기|덮밥/국밥|혼밥 요리|달걀/유제품 요리
158,Casper (1995),Adventure|Children,바나나 버터구이,구이요리|과일 요리|퓨전요리|혼밥 요리|간식/야식|간단 재료 요리|아이 간식
159,Clockers (1995),Crime|Drama|Mystery,국물떡볶이,실생활 요리|국/탕요리|자취 초보 요리|한식 요리|혼밥 요리|간식/야식|움짤 레시피|간단 재료 요리
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,하울정식,양식 요리|구이요리|자취 초보 요리|혼밥 요리|간식/야식|15분 요리|간단 재료 요리|햄/소시지|동영상 레시피
161,Crimson Tide (1995),Drama|Thriller|War,새우매운탕,손님 접대 요리|실생활 요리|수산물|국/탕요리|술안주|한식 요리|혼밥 요리|기미/주근깨|빈혈 예방|간식/야식|움짤 레시피|허리/관절 건강|암 예방|수유모 건강|잇몸 건강|피부 재생|해장요리|눈 건강|불면증 해소|비뇨기 건강|산모 건강|당뇨 극복|위 튼튼
162,Crumb (1994),Documentary,감자명란전,채소류 요리|술안주|자취 초보 요리|한식 요리|전/부침요리|수산가공품|간편 메인반찬
163,Desperado (1995),Action|Romance|Western,스팸하트김밥,나들이 요리|한식 요리|간식/야식|햄/소시지|김밥/롤/주먹밥/초밥|동영상 레시피
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,마늘탕수,채소류 요리|중식 요리|튀김요리|간식/야식|움짤 레시피
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,오코노미야끼토스트,빵/케이크|손님 접대 요리|실생활 요리|일식 요리|샌드위치|나들이 요리|술안주|파티/명절요리|자취 초보 요리|퓨전요리|혼밥 요리|간식/야식|15분 요리|간단 재료 요리|10분 요리|5분 요리|이국적인맛
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,명란 양푼달걀찜,실생활 요리|자취 초보 요리|한식 요리|혼밥 요리|달걀/유제품 요리|15분 요리|간단 재료 요리|10분 요리|5분 요리
167,Feast of July (1995),Drama,매운순대꼬치,가공식품 요리|한식 요리|튀김요리|간식/야식|움짤 레시피
168,First Knight (1995),Action|Drama|Romance,아이스크림 와플,빵/케이크|가공식품 요리|퓨전요리|간식/야식|아이스크림|아이 간식
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,새우 초밥 샐러드,일식 요리|수산물|파티/명절요리|자취 초보 요리|샐러드요리|혼밥 요리|움짤 레시피|간단 재료 요리
170,Hackers (1995),Action|Adventure|Crime|Thriller,마르게리타 피자,양식 요리|자취 초보 요리|피자|간식/야식|달걀/유제품 요리|5분 요리|아이 간식
171,Jeffrey (1995),Comedy|Drama,두부달걀전,실생활 요리|자취 초보 요리|한식 요리|콩/두부 요리|혼밥 요리|달걀/유제품 요리|15분 요리|간단 재료 요리|전/부침요리|간편 메인반찬
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,삼겹살김밥,나들이 요리|자취 초보 요리|한식 요리|돼지고기|혼밥 요리|김밥/롤/주먹밥/초밥
173,Judge Dredd (1995),Action|Crime|Sci-Fi,블루베리레이어드치즈케이크,빵/케이크|손님 접대 요리|양식 요리|파티/명절요리|달걀/유제품 요리|요거트
174,Jury Duty (1995),Comedy,계란국수,실생활 요리|한식 요리|혼밥 요리|달걀/유제품 요리|국물면요리|간편 메인반찬
175,Kids (1995),Drama,김말이,가공식품 요리|한식 요리|튀김요리|간식/야식|간단 재료 요리|아이 간식
